Ort_Name;ID_Bundesland;Bevoelkerungsstand_insgesamt;Bevoelkerungsstand_maennlich;Bevoelkerungsstand_weiblich;Kreise_und_Stadt
Nürnberg;9;523026;255250;267776;kreisfreie Stadt
Schwabach;9;41227;20110;21117;kreisfreie Stadt
Ansbach;9;188623;94550;94073;Landkreis
Erlangen-Höchstadt;9;140994;69977;71017;Landkreis
Nürnberger Land;9;172665;84864;87801;Landkreis
Neustadt a.d.Aisch-Bad Windsheim;9;103303;51799;51504;Landkreis
Roth;9;128694;63723;64971;Landkreis
Weißenburg-Gunzenhausen;9;97120;48407;48713;Landkreis
Würzburg;9;127810;61008;66802;kreisfreie Stadt
Aschaffenburg;9;176958;87610;89348;Landkreis
Bad Kissingen;9;104567;51477;53090;Landkreis
Rhön-Grabfeld;9;80341;39954;40387;Landkreis
Haßberge;9;84984;42626;42358;Landkreis
Kitzingen;9;93247;46806;46441;Landkreis
Miltenberg;9;129835;64503;65332;Landkreis
Main-Spessart;9;127132;63281;63851;Landkreis
Schweinfurt;9;117044;59107;57937;Landkreis
Augsburg;9;301033;148355;152678;kreisfreie Stadt
Kaufbeuren;9;45792;22583;23209;kreisfreie Stadt
Kempten;9;70056;34669;35387;kreisfreie Stadt
Memmingen;9;45857;22647;23210;kreisfreie Stadt
Aichach-Friedberg;9;137334;68380;68954;Landkreis
Dillingen a.d.Donau;9;99109;49626;49483;Landkreis
Günzburg;9;130112;65595;64517;Landkreis
Neu-Ulm;9;180425;89639;90786;Landkreis
Lindau;9;83393;41121;42272;Landkreis
Ostallgäu;9;145378;72362;73016;Landkreis
Unterallgäu;9;150068;75833;74235;Landkreis
Donau-Ries;9;137137;69586;67551;Landkreis
Oberallgäu;9;158942;78119;80823;Landkreis
Saarbrücken;101;181959;90445;91514;Landeshauptstadt
Merzig-Wadern;101;104425;51552;52873;Landkreis
Neunkirchen;101;132283;65064;67219;Landkreis
Saarlouis;101;195749;95910;99839;Landkreis
Saarpfalz-Kreis;101;142419;69192;73227;Kreis
St. Wendel;101;86942;42753;44189;Landkreis
Berlin;11;3755251;1843196;1912055;Landeshauptstadt
Brandenburg an der Havel;12;73609;36106;37503;kreisfreie Stadt
Cottbus;12;99515;48535;50980;kreisfreie Stadt
Frankfurt (Oder);12;58230;28223;30007;kreisfreie Stadt
Potsdam;12;185750;89442;96308;kreisfreie Stadt
Barnim;12;191849;94508;97341;Landkreis
Dahme-Spreewald;12;178967;88512;90455;Landkreis
Elbe-Elster;12;100902;50011;50891;Landkreis
Havelland;12;169334;83473;85861;Landkreis
Märkisch-Oderland;12;200292;99079;101213;Landkreis
Oberhavel;12;218551;107236;111315;Landkreis
Oberspreewald-Lausitz;12;108263;53007;55256;Landkreis
Oder-Spree;12;182401;89338;93063;Landkreis
Ostprignitz-Ruppin;12;99871;49583;50288;Landkreis
Potsdam-Mittelmark;12;222570;109781;112789;Landkreis
Prignitz;12;76045;37625;38420;Landkreis
Spree-Neiße;12;112493;55072;57421;Landkreis
Teltow-Fläming;12;176648;88122;88526;Landkreis
Uckermark;12;117845;57498;60347;Landkreis
Rostock;13;209920;102800;107120;kreisfreie Stadt
Schwerin;13;98596;47203;51393;kreisfreie Stadt
Mecklenburgische Seenplatte;13;259568;127218;132350;Landkreis
Landkreis Rostock;13;220807;109406;111401;Landkreis
Vorpommern-Rügen;13;227683;111156;116527;Landkreis
Nordwestmecklenburg;13;160288;79473;80815;Landkreis
Vorpommern-Greifswald;13;237355;115725;121630;Landkreis
Ludwigslust-Parchim;13;214161;106714;107447;Landkreis
